caminho_arquivo,classe
data\raw\Healthy Leaves\Healthy Leaves_260.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_20.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1065.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_438.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_861.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_412.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1239.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_591.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_907.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_188.jpg,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_400.JPG,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_88.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_697.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_52.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1130.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_556.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_570.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_877.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_507.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1007.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_72.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_548.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_868.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_981.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1232.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_664.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_181.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_234.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_246.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_854.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_104.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_617.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_43.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_843.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_281.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_738.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_508.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_113.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_347.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_163.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_596.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1192.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_27.jpg,Powdery Mildew
data\raw\Powdery Mildew\Powdery Mildew_104.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_703.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_648.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_731.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_445.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1174.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_467.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_435.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_95.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_808.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_787.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_539.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_309.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1084.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_931.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_990.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_960.png,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_1010.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_334.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_60.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_81.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_715.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1035.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_595.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_721.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_619.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_23.jpg,Powdery Mildew
data\raw\Downy Mildew\Downy Mildew_793.jpg,Downy Mildew
data\raw\Bacterial Leaf Spot\Bacterial Leaf Spot_66.JPG,Bacterial Leaf Spot
data\raw\Downy Mildew\Downy Mildew_678.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_904.jpg,Downy Mildew
data\raw\Healthy Leaves\Healthy Leaves_180.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_689.jpg,Healthy Leaves
data\raw\Healthy Leaves\Healthy Leaves_1138.jpg,Healthy Leaves
data\raw\Powdery Mildew\Powdery Mildew_298.jpg,Powdery Mildew
data\raw\Healthy Leaves\Healthy Leaves_298.jpg,Healthy Leaves
data\raw\Downy Mildew\Downy Mildew_22.jpg,Downy Mildew
data\raw\Downy Mildew\Downy Mildew_102.jpg,Downy Mildew
data\raw\Powdery Mildew\Powdery Mildew_109.jpg,Powdery Mildew
